date,sandp500,treasury 
01-Jan-80,110.9,10.80227273
01-Feb-80,115.3,12.41473684
01-Mar-80,104.7,12.74904762
01-Apr-80,103,11.47333333
01-May-80,107.7,10.18142857
01-Jun-80,114.6,9.778095238
01-Jul-80,119.8,10.24772727
01-Aug-80,123.5,11.10190476
01-Sep-80,126.5,11.50857143
01-Oct-80,130.2,11.75136364
01-Nov-80,135.7,12.68470588
01-Dec-80,133.5,12.84409091
01-Jan-81,133,12.56857143
01-Feb-81,128.4,13.19444444
01-Mar-81,133.2,13.11590909
01-Apr-81,134.4,13.67952381
01-May-81,131.7,14.0995
01-Jun-81,132.3,13.47227273
01-Jul-81,129.1,14.28090909
01-Aug-81,129.6,14.93714286
01-Sep-81,118.3,15.32380952
01-Oct-81,119.8,15.14809524
01-Nov-81,122.9,13.39277778
01-Dec-81,123.8,13.72454545
01-Jan-82,117.3,14.594
01-Feb-82,114.5,14.42555556
01-Mar-82,110.8,13.86130435
01-Apr-82,116.3,13.87190476
01-May-82,116.4,13.6225
01-Jun-82,109.7,14.29954545
01-Jul-82,109.4,13.94619048
01-Aug-82,109.7,13.055
01-Sep-82,122.4,12.33904762
01-Oct-82,132.7,10.9065
01-Nov-82,138.1,10.55052632
01-Dec-82,139.4,10.54
01-Jan-83,144.3,10.45714286
01-Feb-83,146.8,10.72473684
01-Mar-83,151.9,10.50652174
01-Apr-83,157.7,10.4
01-May-83,164.1,10.38
01-Jun-83,166.4,10.84863636
01-Jul-83,167,11.377
01-Aug-83,162.4,11.84608696
01-Sep-83,167.2,11.65380952
01-Oct-83,167.7,11.541
01-Nov-83,165.2,11.69
01-Dec-83,164.4,11.82952381
01-Jan-84,166.4,11.67428571
01-Feb-84,157.3,11.84210526
01-Mar-84,157.4,12.31909091
01-Apr-84,157.6,12.6335
01-May-84,156.6,13.40863636
01-Jun-84,153.1,13.56285714
01-Jul-84,151.1,13.36238095
01-Aug-84,164.4,12.71608696
01-Sep-84,166.1,12.52263158
01-Oct-84,164.8,12.16045455
01-Nov-84,166.3,11.57263158
01-Dec-84,164.5,11.4995
01-Jan-85,171.6,11.38428571
01-Feb-85,180.9,11.50888889
01-Mar-85,179.4,11.8552381
